SpecFile, BM1, BM2, BM3
./spec/models/geographic_areas_geographic_item_spec.rb, 23, 24, 23
./spec/models/geographic_area_spec.rb, 36, 36, 36
./spec/models/geographic_area_type_spec.rb, 23, 23, 24
./spec/models/geographic_item/anti_meridian_spec.rb, 24, 23, 24
./spec/models/geographic_item/geometry_collection_spec.rb, 24, 24, 23
./spec/models/geographic_item/line_string_spec.rb, 24, 23, 23
./spec/models/geographic_item/multi_line_string_spec.rb, 23, 24, 23
./spec/models/geographic_item/multi_point_spec.rb, 24, 23, 23
./spec/models/geographic_item/multi_polygon_spec.rb, 23, 23, 23
./spec/models/geographic_item/point_spec.rb, 23, 24, 23
./spec/models/geographic_item/polygon_spec.rb, 23, 24, 23
./spec/models/geographic_item_spec.rb, 65, 63, 66
./spec/models/georeference/geo_locate_spec.rb, 25, 25, 25
./spec/models/georeference/gpx_spec.rb, 23, 23, 24
./spec/models/georeference_spec.rb, 29, 30, 30
./spec/models/georeference/verbatim_data_spec.rb, 24, 23, 24
./spec/models/hybrid_spec.rb, 26, 26, 26
./spec/models/identifier/global/doi_spec.rb, 23, 24, 23
./spec/models/identifier/global/gen_bank_accession_code_spec.rb, 23, 24, 23
./spec/models/identifier/global/isbn_spec.rb, 23, 25, 25
./spec/models/identifier/global/issn_spec.rb, 23, 24, 23
./spec/models/identifier/global/lccn_spec.rb, 23, 24, 23
./spec/models/identifier/global/lsid_spec.rb, 24, 23, 23
./spec/models/identifier/global/morphbank_specimen_number_spec.rb, 24, 23, 23
./spec/models/identifier/global/occurrence_id_spec.rb, 23, 24, 23
./spec/models/identifier/global/orcid_spec.rb, 23, 24, 23
./spec/models/identifier/global_spec.rb, 24, 25, 24
./spec/models/identifier/global/uri_spec.rb, 24, 23, 23
./spec/models/identifier/global/uuid_spec.rb, 24, 23, 24
./spec/models/identifier/local_spec.rb, 25, 24, 24
./spec/models/identifier_spec.rb, 24, 24, 25
./spec/models/image_spec.rb, 27, 27, 27
./spec/models/import_attribute_spec.rb, 24, 23, 23
./spec/models/internal_attribute_spec.rb, 24, 24, 23
./spec/models/keyword_spec.rb, 24, 25, 24
./spec/models/label_spec.rb, 23, 23, 23
./spec/models/language_spec.rb, 24, 23, 24
./spec/models/loan_item_spec.rb, 25, 25, 25
./spec/models/loan_spec.rb, 24, 25, 25
./spec/models/lot_spec.rb, 23, 23, 24
./spec/models/namespace_spec.rb, 24, 24, 24
./spec/models/nomenclatural_rank_spec.rb, 30, 31, 30
./spec/models/note_spec.rb, 24, 23, 24
./spec/models/observation/continuous_spec.rb, 23, 24, 23
./spec/models/observation_matrix_column_item/single_descriptor_spec.rb, 24, 24, 24
./spec/models/observation_matrix_column_item_spec.rb, 25, 24, 25
./spec/models/observation_matrix_column_item/tagged_descriptor_spec.rb, 28, 28, 28
./spec/models/observation_matrix_column_spec.rb, 24, 23, 24
./spec/models/observation_matrix_row_item/single_collection_object_spec.rb, 24, 24, 24
./spec/models/observation_matrix_row_item/single_otu_spec.rb, 24, 24, 24
./spec/models/observation_matrix_row_item_spec.rb, 25, 25, 25
./spec/models/observation_matrix_row_item/tagged_row_item_spec.rb, 30, 30, 30
./spec/models/observation_matrix_row_spec.rb, 24, 24, 24
./spec/models/observation_matrix_spec.rb, 23, 24, 24
./spec/models/observation/presence_absence_spec.rb, 24, 23, 23
./spec/models/observation/qualitative_spec.rb, 24, 24, 23
./spec/models/observation/sample_spec.rb, 24, 23, 24
./spec/models/observation_spec.rb, 23, 24, 24
./spec/models/organization_spec.rb, 24, 23, 23
./spec/models/origin_relationship_spec.rb, 24, 23, 24
./spec/models/otu_page_layout_section/dynamic_section_spec.rb, 21, 21, 21
./spec/models/otu_page_layout_section_spec.rb, 23, 24, 23
./spec/models/otu_page_layout_section/standard_section_spec.rb, 21, 21, 21
./spec/models/otu_page_layout_section/tagged_section_spec.rb, 22, 21, 21
./spec/models/otu_page_layout_spec.rb, 23, 23, 24
./spec/models/otu_spec.rb, 31, 30, 30
./spec/models/person/authored_taxon_names_spec.rb, 24, 24, 25
./spec/models/person/merge_spec.rb, 33, 34, 34
./spec/models/person_spec.rb, 50, 51, 51
./spec/models/person/years_spec.rb, 29, 34, 28
./spec/models/pinboard_item_spec.rb, 28, 27, 27
./spec/models/predicate_spec.rb, 28, 25, 26
./spec/models/preparation_type_spec.rb, 31, 32, 30
./spec/models/project_member_spec.rb, 29, 30, 30
./spec/models/project/preferences_spec.rb, 31, 30, 27
./spec/models/project_source_spec.rb, 27, 25, 29
./spec/models/project_spec.rb, 33, 29, 33
./spec/models/protocol_relationship_spec.rb, 27, 25, 28
./spec/models/protocol_spec.rb, 25, 23, 24
./spec/models/protonym_spec.rb, 29, 30, 30
./spec/models/protonym_specs/associations_spec.rb, 25, 26, 26
./spec/models/protonym_specs/authorship_spec.rb, 26, 27, 28
./spec/models/protonym_specs/methods_spec.rb, 36, 34, 35
./spec/models/protonym_specs/miscellaneous_spec.rb, 26, 24, 24
./spec/models/protonym_specs/name_spec.rb, 23, 24, 24
./spec/models/protonym_specs/original_combinations_spec.rb, 47, 48, 48
./spec/models/protonym_specs/scopes_spec.rb, 29, 29, 29
./spec/models/protonym_specs/soft_validation_spec.rb, 218, 216, 217
./spec/models/public_content_spec.rb, 24, 23, 23
./spec/models/ranged_lot_category_spec.rb, 23, 23, 24
./spec/models/ranged_lot_spec.rb, 21, 21, 20
./spec/models/repository_spec.rb, 24, 23, 24
./spec/models/role_spec.rb, 25, 25, 25
./spec/models/sequence/querying_spec.rb, 25, 25, 25
./spec/models/sequence_relationship_spec.rb, 23, 23, 23
./spec/models/sequence_spec.rb, 24, 24, 24
./spec/models/serial_chronology/serial_merge_spec.rb, 21, 21, 21
./spec/models/serial_chronology/serial_sequence_spec.rb, 21, 21, 21
./spec/models/serial_chronology_spec.rb, 23, 24, 23
./spec/models/serial_spec.rb, 24, 24, 25
./spec/models/source/bibtex_spec.rb, 43, 44, 43
