taxonID,vernacularName,language
1155470,"Smoky Willowfly","English"
1155599,"Sallflies","English"
1155603,"Sallflies","English"
1155605,"Longhead Sallfly","English"
1155606,"Slenderhead Sallfly","English"
1155609,"Hyporheic Sallfly","English"
1155611,"Chilliwack Sallfly","English"
1155613,"Black Sallfly","English"
1155615,"Gaspe Sallfly","English"
1155617,"Sallflies","English"
1155620,"Bigfoot Sallfly","English"
1155622,"Ohio Sallfly","English"
1155623,"Woodlands Sallfly","English"
1155624,"Blue Ridge Sallfly","English"
1155625,"Brunswick Sallfly","English"
1155626,"Atlantic Sallfly","English"
1155627,"Aracoma Sallfly","English"
1155628,"Tufted Sallfly","English"
1155629,"Dusky Sallfly","English"
1155630,"Caddo Sallfly","English"
1155631,"Ozark Sallfly","English"
1155632,"Mariposa Sallfly","English"
1155633,"Triangular Sallfly","English"
1155635,"Duckhead Sallfly","English"
1155636,"Delicate Sallfly","English"
1155639,"Cascades Sallfly","English"
1155640,"Barbed Sallfly","English"
1155641,"Vernal Sallfly","English"
1155647,"Beartooth Sallfly","English"
1155648,"Swannanoa Sallfly","English"
1155650,"Tennessee Sallfly","English"
1155652,"Hairy Sallfly","English"
1155653,"Illinois Sallfly","English"
1155656,"Sawtooth Sallfly","English"
1155657,"Western Sallfly","English"
1155660,"Appalachian Sallfly","English"
1155661,"Lawrence Sallfly","English"
1155662,"Scotia Sallfly","English"
1155663,"Pacific Coast Sallfly","English"
1155665,"Rocky Mountain Sallfly","English"
1155669,"Sandhill Sallfly","English"
1155670,"Swallow Sallfly","English"
1155671,"Blackwater Sallfly","English"
1155672,"Truncate Sallfly","English"
1155675,"Natchez Sallfly","English"
1155676,"Ouachita Sallfly","English"
1155680,"Scooped Sallfly","English"
1155681,"Antelope Sallfly","English"
1155683,"Shenandoah Sallfly","English"
1155685,"Coastal Sallfly","English"
1155687,"Washington Sallfly","English"
1155688,"Crested Sallfly","English"
1155689,"California Sallfly","English"
1155690,"Shasta Sallfly","English"
1155692,"Alberta Sallfly","English"
1155694,"Boreal Sallfly","English"
1155695,"Chico Sallfly","English"
1155696,"Colorado Sallfly","English"
1155697,"Gabriel Sallfly","English"
1155698,"Exquisite Sallfly","English"
1155699,"Mountain Sallfly","English"
1155700,"Holston Sallfly","English"
1155701,"Taos Sallfly","English"
1155702,"Rheocrene Sallfly","English"
1155703,"Curved Sallfly","English"
1155705,"Carolina Sallfly","English"
1155706,"Northeastern Sallfly","English"
1155709,"Alpine Sallfly","English"
1155710,"Ontario Sallfly","English"
1155711,"Oregon Sallfly","English"
1155712,"Pacific Sallfly","English"
1155714,"Pocahontas Sallfly","English"
1155716,"Canadian Sallfly","English"
1155718,"Tamalpais Sallfly","English"
1155719,"Dardanelle Sallfly","English"
1155720,"Nettle Sallfly","English"
1155721,"Virginia Sallfly","English"
1155722,"Lolo Sallfly","English"
1155724,"Utah Sallfly","English"
1155726,"Yurok Sallfly","English"
