taxonID,typeStatus,scientificName,sex,locality,verbatimLatitude,verbatimLongitude,institutionCode,catalogNumber,recordedBy,verbatimEventDate,typeDesignatedBy
1152801,"typeSpecies","Chloroperla cyrene Newman, 1845",,,,,,,,,"Hare. 1910. Some additions to the Perlidae, Neuroptera-Planipennia, and Trichoptera of New Zealand. Transactions of the New Zealand Institute (Trans. New Zeal. Inst.) 42(Art. 5):853"
1152803,"typeSpecies","Crypturoperla paradoxa Illies, 1969",,,,,,,,,"Illies. 1969. Revision der Plecopteren familie Austroperlidae. Entomologisk Tidskrift (Entomol.Tidskr.) 90:50"
1152805,"typeSpecies","Klapopteryx armillata Navás, 1928",,,,,,,,,"Navás. 1928. Insectos neotropicos. 4.a serie. Revista Chilena de Historia Natural (Rev. Chil. Hist. Nat.) 32:123"
1152809,"typeSpecies","Penturoperla barbata Illies, 1960",,,,,,,,,"Illies. 1960. Penturoperlidae, eine neue Plecopterenfamilie. Zoologischer Anzeiger (Zool. Anz.) 164(1/2):38"
1152811,"typeSpecies","Tasmanoperla diversipes Tillyard, 1921",,,,,,,,,"Tillyard. 1921. A new classification of the order Perlaria. Canadian Entomologist (Canad. Ent.) 53:41"
1152812,"typeSpecies","Pseudopentura larvalis Illies, 1969",,,,,,,,,"Illies. 1969. Revision der Plecopteren familie Austroperlidae. Entomologisk Tidskrift (Entomol.Tidskr.) 90:34"
1152820,"typeSpecies","Guaranyperla guapiara Froehlich, 2001",,,,,,,,,"Froehlich. 2001. In Dominguez [Ed.]. Guaranyperla, a new genus in the Gripopterygidae (Plecoptera). Trends in Research in Ephemeroptera and Plecoptera., Kluwer Academic/Plenum Publishers, New York, Boston etc 377"
1152824,"typeSpecies","Kirrama abolos Theischinger, 1981",,,,,,,,,"Theischinger. 1981. New and little known stoneflies from Australia (Insecta: Plecoptera). Aquatic Insects 3(2):104"
1152827,"typeSpecies","Cardioperlisca elongata Sinitshenkova, 1992",,,,,,,,,"Sinitshenkova. 1992. New stoneflies from the Upper Mesozoic of Yakutia (Insecta: Perlida -Plecoptera). Paleontologicheskii Zhurnal (Paleontol. Zh.) 1992:36"
1152830,"typeSpecies","Eodinotoperla duncanae Jell & Duncan, 1986",,,,,,,,,"Jell & Duncan. 1986. Invertebrates, mainly insects, from the freshwater, Lower Cretaceous, Koonwarra Fossil Bed (Korumburra Group), south Gippsland, Victoria. Memoir of the Association of Australasian Palaeontologists 3:135"
